abstract,approximate_characters,author,average_characters_per_page,empty_pages,extractable_text,file_name,keywords,likely_ocr_needed,page_count,reason,sections,size_bytes,status,title,year
"O presente artigo apresenta os resultados da investigação realizada para o Trabalho de Conclusão de Curso da Licenciatura em Matemática, abordando o tema discalculia, uma dificuldade de aprendizagem específica em Matemática. Ressalta-se que a investigação limitou-se a verificar a percepção dos professores de Matemática que atuam do 6º ao 9º ano do Ensino Fundamental de uma escola pública do Gama sobre o assunto. O tema é apresentado com suas definições, dificuldades e classificações. Para coletar os dados, fez-se uso de um questionário eletrônico, com dez questões abertas e fechadas. A metodologia utilizada foi qualitativa e as respostas obtidas foram analisadas de forma interpretativa. Os resultados apontam para uma falta de consenso sobre o tema, fazendo-se necessário um debate maior nos cursos de graduação.
",34551,Adan Cardoso Franco Viana,1919.5,[],True,Adan_Viana_CEST.pdf,"[""discalculia"", ""dificuldade de aprendizagem"", ""Matemática""]",False,18,,"[""None"", ""Instituto Federal de Educação, Ciência e Tecnologia de Brasília"", ""Campus Estrutural"", ""Curso de Licenciatura em Matemática"", ""ADAN CARDOSO FRANCO VIANA"", ""DISCALCULIA NA REALIDADE ESCOLAR:"", ""DISCALCULIA NA REALIDADE ESCOLAR: A PERCEPÇÃO DOCENTE NA IDENTIFICAÇÃO DESSA DIFICULDADE DE APRENDIZAGEM NA EDUCAÇÃO BÁSICA"", ""RESUMO"", ""ABSTRACT"", ""1 INTRODUÇÃO"", ""2 DISCALCULIA"", ""3 METODOLOGIA"", ""4 ANÁLISE DE RESULTADOS"", ""5 CONSIDERAÇÕES FINAIS"", ""REFERÊNCIAS"", ""APÊNDICE A - QUESTIONÁRIO"", ""Seção 4 de 4.""]",321701,ok,DISCALCULIA NA REALIDADE ESCOLAR: A Percepção do Docente na Identificação dessa Dificuldade de Aprendizagem na Educação Básica,2022
"Este artigo tem o intuito de mostrar que a aplicação das metodologias ativas é interessante no processo de ensino-aprendizagem, pois diversifica e implementa o modelo tradicional fazendo ajustes necessários para tornar a Matemática que é vista como uma disciplina desafiadora, um estímulo ao aluno a ter confiança e autonomia no sistema de aprendizagem, essa pesquisa se deu no Instituto Federal de BrasíliaCampus Estrutural . O trabalho teve como objetivo analisar a percepção dos estudantes e professores quanto a aplicações das Metodologias de Ensino na turma do 2º ano do Ensino Médio no conteúdo de trigonometria. Como resultado é perceptível que diversificar e complementar o processo de ensino-aprendizagem com Metodologias Ativas despertam estímulos e interesses na aprendizagem de matemática.
Ensino-aprendizagem, Matemática, Metodologias Ativas e
",53374,Adrienne Vitória Da Rocha Moraes,1007.06,"[4, 43, 45, 47]",True,Adrienne_Moraes_CEST.pdf,"[""Sequência Didática""]",False,53,Há páginas sem texto extraível.,"[""None"", ""Instituto Federal de Brasília Campus [Nome do Campus] [Nome do Curso]"", ""ADRIENNE VITÓRIA DA ROCHA MORAES"", ""APLICAÇÃO DE METODOLOGIAS ATIVAS NO ENSINO DA MATEMÁTICA: POSSIBILIDADES PARA O ENSINO DE TRIGONOMETRIA"", ""INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIAS E TECNOLOGIA DE BRASÍLIA IFB TRABALHO DE CONCLUSÃO DE CURSO MINISTÉRIO DA EDUCAÇÃO"", ""APLICAÇÃO DE METODOLOGIAS ATIVAS NO ENSINO DA MATEMÁTICA: POSSIBILIDADES PARA O ENSINO DE  TRIGONOMETRIA"", ""Área de Concentração: Educação Matemática. Orientador(a): Juliana Campos Sabino de Souza"", ""Brasília 2023"", ""Campus Estrutural"", ""Resumo"", ""INTRODUÇÃO"", ""A MATEMÁTICA NO PROCESSO DE ENSINO-APRENDIZAGEM"", ""METODOLOGIAS DE ENSINO NO PROCESSO DE APRENDIZAGEM"", ""APLICAÇÃO DAS METODOLOGIAS ATIVAS NA ESCOLA"", ""SALA DE AULA INVERTIDA"", ""APLICAÇÃO DE MODELAGEM MATEMÁTICA"", ""IMPORTÂNCIA DO ESTUDANTE NA ELABORAÇÃO DE PROBLEMAS"", ""Como discorrem os autores:"", ""TRIGONOMETRIA E SUAS RELAÇÕES"", ""METODOLOGIA (MATERIAIS E MÉTODOS)"", ""ANÁLISE DOS DADOS"", ""11 respostas"", ""01) Numa escala de 0 a 10, responda:"", ""2) Você gostaria que aplicasse mais atividades nesse estilo?"", ""Você acha que contribui ou não para o aprendizado do aluno?"", ""CONSIDERAÇÕES FINAIS"", ""REFERÊNCIAS"", ""INSTITUTO FEDERAL"", ""TRIGONOMETRIA NO TRIÂNGULO RETÂNGULO"", ""Construindo seu triângulo"", ""Orientações"", ""Passo a passo"", ""Levantamentos"", ""Tabela dos valores dos arcos notáveis"", ""Círculo Trigonométrico"", ""Apêndice II Lista de Exercícios Trigonometria"", ""Apêndice III"", ""Elaboração de Questão""]",4537604,warning,APLICAÇÃO DE METODOLOGIAS ATIVAS NO ENSINO DA MATEMÁTICA: POSSIBILIDADES PARA O ENSINO DE TRIGONOMETRIA,2023
"A Estatística desempenha um papel essencial na compreensão do mundo e na interpretação de informações cotidianas. Embora suas abordagens na Educação Básica brasileira, especialmente no Ensino Fundamental, carecerem de aprofundamento e ferramentas didático-pedagógicas. Esta monografia investigou o perfil evolutivo das habilidades estatísticas descritas na unidade de Probabilidade e Estatística dos Anos Finais do Ensino Fundamental, conforme estabelecido pela BNCC. Utilizando a Taxonomia de Bloom Revisada (TBR), o estudo buscou compreender e organizar essas habilidades, correlacionando-as com as dimensões do Domínio Cognitivo e do Conhecimento. Tendo como objetivo compreender a estrutura de cada uma das habilidades de Estatística na BNCC de forma a viabilizar seu enquadramento na TBR, uma classificação crucial para o planejamento de atividades que promovam o desenvolvimento adequado dessas habilidades no contexto educacional. A expectativa é que essa iniciativa contribua para fortalecer o Ensino de Estatística, capacitando os estudantes a interpretar e utilizar informações estatísticas de maneira crítica e fundamentada, fortalecendo, assim, a formação cidadã.
",126514,ALICE CALDAS BARBOSA DOS SANTOS,1860.5,[3],True,Alice_Santos_CEST.pdf,"[""Estatística"", ""Educação Estatística"", ""Base Nacional Comum""]",False,68,Há páginas sem texto extraível.,"[""None"", ""Instituto Federal de Brasília Campus Estrutural"", ""Licenciatura em Matemática"", ""ALICE CALDAS BARBOSA DOS SANTOS"", ""TAXONOMIA DE BLOOM REVISADA COMO INSTRUMENTO DE ANÁLISE PANORÂMICA DAS HABILIDADES DE ESTATÍSTICA NA BNCC DOS ANOS FINAIS DO ENSINO FUNDAMENTAL"", ""TAXONOMIA DE BLOOM REVISADA COMO INSTRUMENTO DE ANÁLISE PANORÂMICA DAS HABILIDADES DE ESTATÍSTICA DA BNCC DOS ANOS FINAIS DO ENSINO FUNDAMENTAL"", ""RESUMO"", ""ABSTRACT"", ""LISTA DE ILUSTRAÇÕES"", ""LISTA DE ABREVIATURAS E SIGLAS"", ""SUMÁRIO"", ""1 INTRODUÇÃO E JUSTIFICATIVA"", ""2 MATERIAIS E MÉTODOS"", ""2.1 Taxonomia de Bloom como Instrumento no Planejamento Docente"", ""2.2 Metodologia"", ""3 A EDUCAÇÃO ESTATÍSTICA"", ""3.1 A Literacia, o Pensamento e o Raciocínio Estatístico"", ""4 DOCUMENTOS NORTEADORES"", ""4.1 A Base Nacional Comum Curricular"", ""Quadro 5 - Competências gerais da Educação Básica"", ""COMPETÊNCIAS GERAIS DA EDUCAÇÃO BÁSICA"", ""CIÊNCIAS - 1º ANO"", ""Diferenciar escravidão, servidão e trabalho livre no mundo antigo."", ""COMPETÊNCIAS ESPECÍFICAS DE MATEMÁTICA PARA O ENSINO FUNDAMENTAL"", ""4.2 Habilidades de Estatística na BNCC"", ""HABILIDADES"", ""5 ANÁLISE DAS HABILIDADES DE ESTATÍSTICA NOS ANOS FINAIS DO ENSINO FUNDAMENTAL"", ""5.1 Habilidades Específicas de Estatística"", ""5.2 Análise da Progressão das Habilidades Específicas de Estatística"", ""6 CONSIDERAÇÕES FINAIS"", ""REFERÊNCIAS"", ""ANEXO A - TABELA BIDIMENSIONAL DA TAXONOMIA DE BLOOM REVISADA"", ""3.1 THE TAXONOMY TABLE"", ""ANEXO B - OS PRINCIPAIS TIPOS E SUBTIPOS DA DIMENSÃO DO CONHECIMENTO NA TABELA DA TAXONOMIA DE BLOOM REVISADA"", ""3.2 THE MAJOR TYPES AND SUBTYPES OF THE KNOWLEDGE DIMENSION*""]",763261,warning,TAXONOMIA DE BLOOM REVISADA COMO INSTRUMENTO DE ANÁLISE PANORÂMICA DAS HABILIDADES DE ESTATÍSTICA NA BNCC DOS ANOS FINAIS DO ENSINO FUNDAMENTAL,2023
"A probabilidade geométrica é importante conceito probabilístico pouco abordado em livros didáticos brasileiros. No entanto, é de extrema importância discutir e propor uma abordagem educativa para o problema das agulhas de Buffon. Este trabalho tem como objetivo fundamentar, desenvolver e apresentar um objeto educacional que explore esse tema. Para alcançar esse objetivo, o trabalho será estruturado da seguinte forma: inicialmente, será apresentada uma introdução que contextualiza a relevância do estudo da probabilidade geométrica e justifica a abordagem escolhida para o problema das agulhas de Buffon. Em seguida, será fornecido um embasamento teórico abrangente, que abordará a metodologia empregada e descreverá o desenvolvimento do objeto educacional em cada etapa.
Palavras-chaves : Agulhas de Buffon; Objeto Educacional; Probabilidade Geométria.",44606,António Rafael Hanverri Adriano de Araújo,1486.87,[22],True,António_Araújo_CEST.pdf,[],False,30,Há páginas sem texto extraível.,"[""None"", ""ANTÓNIO R H A DE ARAUJO"", ""USO DE CONCEITOS DE PROBABILIDADE GEOMÉTRICA E ESTATÍSTICA A PARTIR DO PROBLEMA DAS AGULHAS DE BUFFON"", ""António R H A de Araujo"", ""Resumo"", ""Sumário"", ""1 Introdução e justificativa"", ""2 Metodologia"", ""3 As Etapas da ADDIE"", ""3.1 Análise"", ""3.2 Design"", ""3.3 Desenvolvimento"", ""Considerações Finais"", ""Referências"", ""APÊNDICE A"", ""APÊNDICE B"", ""BIBLIOGRAFIA"", ""APÊNDICE C""]",732487,warning,USO DE CONCEITOS DE PROBABILIDADE GEOMÉTRICA E ESTATÍSTICA A PARTIR DO PROBLEMA DAS AGULHAS DE BUFFON,2023
"Este  trabalho  trata  do  desenvolvimento  de  um  laboratório  de  matemática  móvel  e sustentável para o Ensino Fundamental II, em que se teve a intenção de contribuir para a solução do impasse da ausência de laboratório de matemática nas escolas. Em  termos  teóricos,  a  pesquisa  fundamentou-se  principalmente  nos  estudos  de Sérgio  Lorenzato  acerca  do  laboratório  de  matemática,  considerando  que  o  autor destaca sua importância no processo de ensino e aprendizagem e defende o fato de o  laboratório  não  se  tratar  necessariamente  de  um  espaço  físico,  mas  de  uma metodologia de ensino. A metodologia utilizada foi o Design Thinking, em que foram realizadas pesquisas introdutórias com a intenção de se compreender os principais fatores que influenciam o impasse abordado. Além disso, apresentou-se o processo de geração de ideias, desenvolvimento e especificações do laboratório em questão. Por  fim,  evidenciou-se  que  o  laboratório  desenvolvido  é  capaz  de  contribuir  de maneira relevante no processo de ensino e aprendizagem, além de democratizar a vivência dos estudantes quanto ao uso de materiais concretos.
",51546,Bruna de Sousa de Oliveira,954.56,"[36, 38, 41, 45, 46, 48]",True,Bruna_Oliveira_CEST.pdf,"[""Laboratório de Matemática. Metodologia de Ensino. Aprendizagem""]",False,54,Há páginas sem texto extraível.,"[""None"", ""DESENVOLVIMENTO DE UM LABORATÓRIO DE MATEMÁTICA MÓVEL E SUSTENTÁVEL PARA O ENSINO FUNDAMENTAL II"", ""Bruna de Sousa de Oliveira"", ""RESUMO"", ""ABSTRACT"", ""LISTA DE ILUSTRAÇÕES"", ""SUMÁRIO"", ""1 INTRODUÇÃO"", ""2 METODOLOGIA"", ""3 EXECUÇÃO DAS FASES DE DESIGN THINKING"", ""3.1 Descoberta"", ""3.1 Descoberta > 3.1.1 Desk Research"", ""3.1 Descoberta > 3.1.1 Desk Research > 3.1.1.1 Ausência de laboratório de matemática nas escolas"", ""3.1 Descoberta > 3.1.1 Desk Research > 3.1.1.2 Concepções de laboratório de matemática"", ""3.2 Interpretação"", ""3.3 Ideação"", ""3.3 Ideação > 3.3.1 Moodboards"", ""3.3 Ideação > 3.3.2 Geração de ideias"", ""3.4 Experimentação"", ""Dominó das potências"", ""Caça ao tesouro da função afim"", ""Tangram"", ""Geoplano"", ""Torre de Hanói"", ""Frações circulares"", ""Figuras geométricas planas"", ""3.4 Evolução"", ""3.4 Evolução > 3.4.1 Dos pareceres"", ""4 CONSIDERAÇÕES FINAIS"", ""REFERÊNCIAS"", ""APÊNDICE A - ILUSTRAÇÕES DO BINGO DAS OPERAÇÕES"", ""BINGO"", ""APÊNDICE B - ILUSTRAÇÃO DO DOMINÓ DAS POTÊNCIAS"", ""APÊNDICE C - PISTAS DA CAÇA AS FUNÇÕES AFIM"", ""APÊNDICE E - MOLDE DO TANGRAM"", ""APÊNDICE G - MOLDE DAS FRAÇÕES CIRCULARES"", ""APÊNDICE H - MOLDE DAS FIGURAS GEOMÉTRICAS PLANAS"", ""ANEXO I - PARECER DA DRA. ANA LIBÓRIO"", ""Dos materiais:"", ""Da proposta pedagógica:"", ""Sugestões:"", ""Parecer:"", ""ANEXO II - PARECER DO DR. MATEUS GIANNI""]",4015389,warning,DESENVOLVIMENTO DE UM LABORATÓRIO DE MATEMÁTICA MÓVEL E SUSTENTÁVEL PARA O ENSINO FUNDAMENTAL II,2022
"O ensino de limites na matemática é frequentemente acompanhado por uma série de dificuldades enfrentadas pelos estudantes. Essas dificuldades podem ser atribuídas a fatores epistemológicos, ou seja, relacionados à forma como o conhecimento é adquirido e assimilado. Havendo também indícios de deficiências em relação à compreensão da matemática do ensino básico. O desenvolvimento de um recurso visual na plataforma Geogebra afim de diminuir um pouco da abstração e do rigor foi o objetivo principal deste trabalho, ir além do ensino tradicional, oferecendo uma experiência de aprendizado enriquecida e permitir que estudantes explorem os aspectos mais sutis e desafiadores da teoria, incentivando o desenvolvimento de uma compreensão mais profunda e significativa do cálculo.
",57400,Caio Vieira Marques,1793.75,[],True,Caio_Marques_CEST.pdf,"[""Geogebra"", ""Cálculo"", ""Tecnologias na Educação"", ""História do Cálculo""]",False,32,,"[""None"", ""OUSODAPLATAFORMA GEOGEBRA PARA O ESTUDO DO CONCEITO PRIMITIVO E GEOMÉTRICO DE LIMITE"", ""Caio Vieira Marques"", ""Resumo"", ""Abstract"", ""Sumário"", ""1. INTRODUÇÃO E JUSTIFICATIVA"", ""2. OBJETIVOS > 2.1. OBJETIVO GERAL"", ""2. OBJETIVOS > 2.2. OBJETIVOS ESPECÍFICOS"", ""3. FUNDAMENTAÇÃO TEÓRICA"", ""3. FUNDAMENTAÇÃO TEÓRICA > 3.1. OENSINO DO CÁLCULO"", ""3. FUNDAMENTAÇÃO TEÓRICA > 3.2. OENSINO DE LIMITE"", ""3. FUNDAMENTAÇÃO TEÓRICA > 3.3. A FERRAMENTA GEOGEBRA"", ""4. METODOLOGIA"", ""4. METODOLOGIA > 4.1. OMATERIAL"", ""5. CONSIDERAÇÕES FINAIS"", ""6. REFERÊNCIAS""]",578668,ok,O USO DA PLATAFORMA GEOGEBRA PARA O ESTUDO DO CONCEITO PRIMITIVO E GEOMÉTRICO DE LIMITE,2023
"Inserido na perspectiva de que a educação financeira vem sendo negligenciada no sistema de educação brasileiro, este trabalho tem por objetivo contribuir com um produto educacional que busca viabilizar o estudo de investimentos para estudantes do ensino médio. Dentro de uma visão geral sobre o assunto, os investimentos são, para boa parte da população, um dos aspectos mais omitidos. Tal fato denota a necessidade de buscar por possíveis processos que levem a um conhecimento mais profundo sobre o tema, desde a formação básica. Partindo dessa premissa, a presente monografia traz o estudo de uma análise técnica e sugere um série de sequências didáticas voltadas ao mercado de ações e para conteúdos de matemática do Ensino Médio: a retração e a projeção de Fibonacci. Técnicas estas advindas das Teorias de Down e das Ondas de Elliott, tendo como ferramenta as proporções encontradas na sequência de Fibonacci. As sequências didáticas apresentadas têm como enfoque possibilitar uma introdução a estas teorias. Elas exibem como a aplicação de conhecimentos advindos da educação básica pode ser, de modo transversal, utilizada em situações de investimentos. Isso contribui para a ampliação, por parte do estudante, de sua visão sobre educação financeira.
",106929,Carla Lima Santos,1620.14,[],True,Carla_Santos_CEST.pdf,"[""investimentos"", ""Fibonacci"", ""sequência didática"", ""análise técnica""]",False,66,,"[""None"", ""INSTITUTO FEDERAL DE BRASÍLIA CAMPUS ESTRUTURAL LICENCIATURA EM MATEMÁTICA"", ""CARLA LIMA SANTOS"", ""APLICAÇÃO DA SEQUÊNCIA DE FIBONACCI EM ANÁLISE TÉCNICA DE GRÁFICOS DE AÇÕES"", ""Resumo"", ""Abstract"", ""Lista de ilustrações"", ""Sumário"", ""REFERÊNCIAS . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 62"", ""1 Introdução e Justificativa"", ""2 Objetivos > 2.1 Objetivo geral"", ""2 Objetivos > 2.2 Objetivos específicos"", ""3 Referencial teórico"", ""3 Referencial teórico > 3.1 Teoria de Dow"", ""3 Referencial teórico > 3.2 Gráficos de Candlesticks"", ""3 Referencial teórico > 3.3 Teoria das Ondas de Elliott"", ""3 Referencial teórico > 3.4 Sequência de Fibonacci"", ""3 Referencial teórico > 3.5 Aplicação à análise técnica"", ""4 Materiais e Métodos"", ""5 Sequência Didática"", ""· Conteúdos Abordados"", ""· Tema"", ""· Habilidades"", ""· Objetivos"", ""· Público Alvo"", ""· Público Alvo > 5.1 Fibonacci > 5.1.1 Atividade 01 - Conhecendo a Sequência de Fibonacci"", ""Objetivos de aprendizagem"", ""Carga horária"", ""Recursos"", ""Recursos > 5.1.2 Atividade 02 - Retângulos de Fibonacci"", ""Recursos > 5.1.3 Atividade 03 - Fórmula Recursiva"", ""Recursos > 5.1.4 Atividade 04 Puzzle de Fibonacci"", ""1. Qual a área do quadrado da figura 16?"", ""1. Qual a área do quadrado da figura 16? > 5.1.5 Atividade 05 - Lâmpadas de Fibonacci"", ""Recursos > 5.2 Análise de Gráficos > 5.2.1 Atividade 01 - Gráfico de Candlestick"", ""Objetivo de aprendizagem"", ""Recursos > 5.2.2 Atividade 02 - Elementos do Candlestick"", ""Recursos > 5.2.3 Atividade 03 - Aplicação real"", ""Recursos > 5.3 Análise Técnica > 5.3.1 Atividade 01 - Teoria das Ondas de Elliott"", ""Recursos > 5.3 Análise Técnica > 5.3.2 Atividade 02 - Ondas de Elliott na prática"", ""Recursos > 5.3 Análise Técnica > 5.3.3 Atividade 03 - Níveis de Fibonacci"", ""Recursos > 5.3.4 Atividade 04 - Aplicação introdutória dos níveis de Fibonacci à análise técnica"", ""Recursos > 5.3.5 Atividade 05 - Retração de Fibonacci"", ""Recursos > 5.3.6 Atividade 06 - Retração de Fibonacci - Tendência de baixa"", ""Recursos > 5.3.7 Atividade 07 - Projeção de Fibonacci"", ""Recursos > 5.3.8 Atividade 08 - Projeção de Fibonacci - Tendência de baixa"", ""6 Considerações finais"", ""Referências""]",2126860,ok,APLICAÇÃO DA SEQUÊNCIA DE FIBONACCI EM ANÁLISE TÉCNICA DE GRÁFICOS DE AÇÕES,2022
"Trata-se de uma pesquisa cujo objetivo foi comparar o desempenho escolar de um grupo de estudantes do 2º ano do ensino médio de 3 (três) escolas públicas do Distrito Federal em relação à sua criatividade em matemática. Para isso, foram aplicados dois testes: (a) Teste de Desempenho Criativo no Campo da Matemática (TDCCM); e (b) Teste de Desempenho em Matemática (TDM). Além desses, ainda foi utilizado um questionário  com  intuito  de  averiguar  a  autopercepção  dos  estudantes  acerca  da criatividade em matemática. Participaram da pesquisa, um total de 72 estudantes. Por resultados,  foi  encontrada  correlação  positiva  entre  criatividade  em  matemática  e desempenho em matemática, além de constatar que estudantes que possuem uma autopercepção  positiva  em  relação  a  criatividade  em  matemática  tende  a  ter  um melhor desempenho em matemática.
",46377,Carlos Alberto Ferreira Rodrigues Júnior,1656.32,[],True,Carlos_Rodrigues Júnior_CEST.pdf,"[""Educação Matemática"", ""Criatividade em Matemática"", ""Desempenho escolar em Matemática""]",False,28,,"[""Banca Examinadora"", ""Instituto Federal de Educação, Ciência e Tecnologia de Brasília Campus Estrutural"", ""Licenciatura em Matemática"", ""CARLOS ALBERTO FERREIRA RODRIGUES JÚNIOR"", ""RELAÇÕES ENTRE A CRIATIVIDADE EM MATEMÁTICA E O DESEMPENHO ESCOLAR DE ESTUDANTES DO 2° ANO DO ENSINO MÉDIO"", ""Aprovado em 16 de janeiro de 2023"", ""BANCA EXAMINADORA"", ""RESUMO"", ""SUMÁRIO"", ""1 INTRODUÇÃO"", ""2 CRIATIVIDADE EM MATEMÁTICA"", ""2.1 Estratégias para o desenvolvimento da criatividade em matemática"", ""2.2 Criatividade em Matemática e Desempenho em Matemática"", ""3 METODOLOGIA - MATERIAIS E MÉTODOS"", ""3.1 Participantes"", ""3.2 Instrumentos"", ""3.3 Análise dos dados"", ""4 RESULTADOS E DISCUSSÃO"", ""consigo"", ""5 CONSIDERAÇÕES FINAIS"", ""REFERÊNCIAS""]",1058923,ok,Relações entre a criatividade em matemática e o desempenho escolar de estudantes do 2º ano do ensino médio,2023
"Este trabalho tem como objetivo investigar a percepção dos estudantes do Ensino Médio 03 de Taguatinga-DF com relação ao estudo da Geometria. Em que foi elaborado um questionário destinado aos estudantes, este questionário possui caráter misto sendo enquadrado como quantitativo e qualitativo. O questionário foi elaborado buscando levantar informações sobre o ensino da Geometria, a motivação dos estudantes sobre o conteúdo em questão, a compreensão da teoria da Geometria, a abordagem dos professores no ensino da Geometria, possíveis ferramentas didáticas para o auxílio no estudo da Geometria e as dificuldades vivenciadas pelos estudantes nesse estudo. Nesse, também foram abordados temas por meio da literatura acadêmica existente sobre os três seguintes temas: ensino de Geometria no ensino médio, a percepção dos estudantes acerca do ensino da Geometria e o ensino relacionado ao cotidiano.
",39695,CÉSAR AUGUSTO DOS SANTOS ROSA,1167.5,"[32, 33]",True,César_Rosa_CEST.pdf,"[""Geometria"", ""Ensino de Geometria"", ""Ensino Médio""]",False,34,Há páginas sem texto extraível.,"[""None"", ""Instituto Federal de Brasília Campus Estrutural"", ""Licenciatura em Matemática"", ""CÉSAR AUGUSTO DOS SANTOS ROSA"", ""A PERCEPÇÃO DOS ESTUDANTES DO ENSINO MÉDIO SOBRE O ENSINO DA GEOMETRIA"", ""RESUMO"", ""ABSTRACT"", ""SUMÁRIO"", ""1 INTRODUÇÃO E JUSTIFICATIVA 8 2 FUNDAMENTAÇÃO TEÓRICA 10 3 METODOLOGIA 14 4 RESULTADOS E DISCUSSÕES 15 5 CONSIDERAÇÕES FINAIS 25 REFERÊNCIAS 27"", ""1 INTRODUÇÃO E JUSTIFICATIVA"", ""2 FUNDAMENTAÇÃO TEÓRICA > 2.1 O ENSINO DE GEOMETRIA NO ENSINO MÉDIO"", ""2 FUNDAMENTAÇÃO TEÓRICA > 2.2 A PERCEPÇÃO DOS ESTUDANTES ACERCA DO ENSINO DA GEOMETRIA"", ""2 FUNDAMENTAÇÃO TEÓRICA > 2.3 O ENSINO RELACIONADO AO COTIDIANO"", ""3 METODOLOGIA"", ""4 RESULTADOS E DISCUSSÕES"", ""5 CONSIDERAÇÕES FINAIS"", ""REFERÊNCIAS"", ""APÊNDICE A - PERCEPÇÃO DOS ESTUDANTES DE ENSINO MÉDIO SOBRE O ESTUDO DE GEOMETRIA"", ""PERCEPÇÃO DOS ESTUDANTES DE ENSINO MÉDIO SOBRE O ESTUDO DE GEOMETRIA"", ""09. Você acredita que a abordagem utilizada pelos professores no ensino de Geometria é eficaz?"", ""10. O que você acredita que poderia ser feito para melhorar o ensino de Geometria e torná-lo mais interessante?"", ""APÊNDICE B - DADOS COLETADOS DO QUESTIONÁRIO""]",755472,warning,A PERCEPÇÃO DOS ESTUDANTES DO ENSINO MÉDIO SOBRE O ENSINO DA GEOMETRIA,2023
"O presente trabalho tem como objetivo analisar os fatores socioeconômicos associados ao desempenho dos estudantes na prova de matemática do Exame Nacional do Ensino Médio, com objetivo de entender os fatores que influenciam no desempenho final do discente na prova de matemática. A partir do uso da nota do ENEM como forma de ingresso à universidade, a forma de se ensinar e avaliar tem sofrido grandes mudanças no ensino médio. Essa mudança gerou um grande impacto na forma de se lecionar e avaliar, com muitas escolas adotando metodologias de ensino voltada para a aprovação em exames como ENEM ou similares, foi criada uma cultura de aprovação em vestibulares que resume a qualidade de ensino ao desempenho nessas avaliações, fazendo com que a matriz curricular do ENEM se torne um parâmetro para os currículos das escolas de ensino médio do país. Com o resultado das análises, espera-se contribuir com a predição de problemas de rendimento escolar que podem vir a acontecer, tornando mais claro o perfil dos estudantes que pode apresentar alguma dificuldade, tomando com referência, o perfil socioeconômico que ele possui. E a partir dos dados socioeconômicos, espera-se que os gestores escolares possam ter uma ideia maior dos fatores socioeconômicos que levam os estudantes a apresentarem melhor ou pior desempenho no ENEM, buscando melhorar as metodologias utilizadas pelo colégio, não deixando o resultado final como o principal resultado do processo educacional.
Palavras-chaves : Avaliação de Larga Escala; Análise de Dados; Educação.",56222,EVANDRO DA SILVA MAGALHÃES JÚNIOR,1405.55,[36],True,Evandro_Magalhães Júnior_CEST.pdf,[],False,40,Há páginas sem texto extraível.,"[""None"", ""Instituto Federal de Brasília Campus Estrutural Licenciatura em Matemática"", ""EVANDRO DA SILVA MAGALHÃES JÚNIOR"", ""FATORES SOCIOECONÔMICOS ASSOCIADOS AO DESEMPENHO DOS ESTUDANTES NA PROVA DE MATEMÁTICA DO EXAME NACIONAL DO ENSINO MÉDIO"", ""Evandro da Silva Magalhães Júnior"", ""Resumo"", ""Abstract"", ""Lista de ilustrações"", ""Lista de tabelas"", ""Lista de abreviaturas e siglas"", ""Sumário"", ""1 Introdução"", ""2 Avaliações no Brasil e o INEP"", ""3 Criação das Avaliações de Larga Escala"", ""4 Estrutura do ENEM"", ""5 Materiais e Métodos"", ""5.1 Material"", ""5.2 Métodos > 5.2.1 Análise de Correspondência Múltipla"", ""5.2 Métodos > 5.2.2 Desenvolvimento Algébrico da Análise de Correspondência"", ""6 Resultados e Discussão"", ""6.1 Detalhamento dos Dados"", ""6.1 Detalhamento dos Dados > 6.1.1 Análise de Múltiplas Correspondências - MCA"", ""Considerações Finais"", ""Referências"", ""APÊNDICE A -Tabela de Descrição das Variáveis""]",687127,warning,FATORES SOCIOECONÔMICOS ASSOCIADOS AO DESEMPENHO DOS ESTUDANTES NA PROVA DE MATEMÁTICA DO EXAME NACIONAL DO ENSINO MÉDIO,2022
